user_id,date_served,marketing_channel,variant,language_displayed,converted
a1000,1/1/18,House Ads,personalization,English,True
a1001,1/1/18,House Ads,personalization,English,True
a1002,1/1/18,House Ads,personalization,English,True
a1003,1/1/18,House Ads,personalization,English,True
a1004,1/1/18,House Ads,personalization,English,True
a1005,1/1/18,House Ads,personalization,German,True
a1006,1/1/18,House Ads,personalization,English,True
a1007,1/1/18,House Ads,personalization,English,True
a1008,1/1/18,House Ads,personalization,English,True
a1009,1/1/18,House Ads,personalization,English,True
a1010,1/1/18,House Ads,personalization,English,True
a1011,1/1/18,House Ads,personalization,English,True
a1012,1/1/18,House Ads,personalization,Arabic,True
a1013,1/1/18,House Ads,personalization,English,True
a1014,1/1/18,House Ads,personalization,English,True
a1015,1/1/18,House Ads,personalization,Arabic,True
a1016,1/2/18,House Ads,personalization,English,True
a1017,1/2/18,House Ads,personalization,English,True
a1018,1/2/18,House Ads,personalization,English,True
a1019,1/2/18,House Ads,personalization,German,True
a1020,1/2/18,House Ads,personalization,German,True
a1021,1/2/18,House Ads,personalization,English,True
a1022,1/1/18,House Ads,personalization,English,False
a1023,1/2/18,House Ads,personalization,English,True
a1024,1/1/18,Push,personalization,English,False
a1025,1/2/18,House Ads,personalization,English,True
a1026,1/1/18,House Ads,personalization,English,False
a1027,1/2/18,House Ads,personalization,English,True
a1028,1/1/18,House Ads,personalization,English,False
a1029,1/2/18,House Ads,personalization,English,True
a1030,1/1/18,House Ads,personalization,English,False
a1031,1/2/18,House Ads,personalization,English,True
a1032,1/1/18,Push,personalization,English,False
a1033,1/2/18,House Ads,personalization,English,True
a1034,1/1/18,Facebook,personalization,English,False
a1035,1/2/18,House Ads,personalization,English,True
a1036,1/1/18,Instagram,personalization,English,False
a1037,1/2/18,House Ads,personalization,English,True
a1038,1/1/18,Instagram,personalization,English,False
a1039,1/2/18,House Ads,personalization,English,True
a1040,1/1/18,Facebook,personalization,English,False
a1041,1/2/18,House Ads,personalization,German,True
a1042,1/1/18,House Ads,personalization,German,False
a1043,1/2/18,House Ads,personalization,English,True
a1044,1/1/18,House Ads,personalization,English,False
a1045,1/3/18,House Ads,personalization,English,True
a1046,1/1/18,House Ads,personalization,English,False
a1047,1/3/18,House Ads,personalization,English,True
a1048,1/1/18,House Ads,personalization,English,False
a1049,1/3/18,House Ads,personalization,English,True
a1050,1/1/18,Push,personalization,English,False
a1051,1/3/18,House Ads,personalization,English,True
a1052,1/1/18,House Ads,personalization,English,False
a1053,1/3/18,House Ads,personalization,English,True
a1054,1/1/18,House Ads,personalization,English,False
a1055,1/3/18,House Ads,control,English,True
a1056,1/3/18,House Ads,control,English,True
a1057,1/3/18,House Ads,control,English,True
a1058,1/3/18,House Ads,control,Spanish,True
a1059,1/3/18,House Ads,control,English,True
a1060,1/3/18,House Ads,control,German,True
a1061,1/3/18,House Ads,control,English,True
a1062,1/3/18,House Ads,control,English,True
a1063,1/3/18,House Ads,control,English,True
a1064,1/3/18,House Ads,control,English,True
a1065,1/3/18,House Ads,control,English,True
a1066,1/3/18,House Ads,control,English,True
a1067,1/4/18,House Ads,control,English,True
a1068,1/4/18,House Ads,control,English,True
a1069,1/4/18,House Ads,control,English,True
a1070,1/4/18,House Ads,control,English,True
a1071,1/4/18,House Ads,control,Spanish,True
a1072,1/4/18,House Ads,control,English,True
a1073,1/4/18,House Ads,control,English,True
a1074,1/4/18,House Ads,control,Spanish,True
a1075,1/4/18,House Ads,control,English,True
a1076,1/4/18,House Ads,control,English,True
a1077,1/4/18,House Ads,control,English,True
a1078,1/4/18,House Ads,control,English,True
a1079,1/4/18,House Ads,control,English,True
a1080,1/4/18,House Ads,control,English,True
a1081,1/4/18,House Ads,control,Spanish,True
a1082,1/5/18,House Ads,control,English,True
a1083,1/5/18,House Ads,control,English,True
a1084,1/5/18,House Ads,control,English,True
a1085,1/5/18,House Ads,control,English,True
a1086,1/4/18,House Ads,control,English,False
a1087,1/5/18,House Ads,control,English,True
a1088,1/4/18,House Ads,control,English,False
a1089,1/5/18,House Ads,control,English,True
a1090,1/4/18,House Ads,control,English,False
a1091,1/5/18,House Ads,control,English,True
a1092,1/4/18,House Ads,control,English,False
a1093,1/5/18,House Ads,control,Spanish,True
a1094,1/4/18,House Ads,control,Spanish,False
a1095,1/5/18,House Ads,control,English,True
a1096,1/4/18,House Ads,control,English,False
a1097,1/5/18,House Ads,control,English,True
a1098,1/4/18,House Ads,control,English,False
a1099,1/5/18,House Ads,control,English,True
a1100,1/4/18,House Ads,control,English,False
a1101,1/5/18,House Ads,control,English,True
a1102,1/4/18,House Ads,control,English,False
a1103,1/5/18,House Ads,control,Spanish,True
a1104,1/4/18,House Ads,control,Spanish,False
a1105,1/5/18,House Ads,control,Spanish,True
a1106,1/4/18,House Ads,control,Spanish,False
a1107,1/5/18,House Ads,control,English,True
a1108,1/4/18,House Ads,control,English,False
a1109,1/5/18,House Ads,control,English,True
a1110,1/4/18,House Ads,control,English,False
a1111,1/5/18,House Ads,control,English,True
a1112,1/5/18,House Ads,control,English,True
a1113,1/5/18,House Ads,control,English,True
a1114,1/5/18,House Ads,control,English,True
a1115,1/6/18,House Ads,control,English,True
a1116,1/6/18,House Ads,control,Spanish,True
a1117,1/6/18,House Ads,control,English,True
a1118,1/6/18,House Ads,control,English,True
a1119,1/6/18,House Ads,control,English,True
a1120,1/6/18,House Ads,control,English,True
a1121,1/6/18,House Ads,control,English,True
a1122,1/6/18,House Ads,control,Arabic,True
