user_id,subscribing_channel,date_subscribed,date_canceled,is_retained
a1000,House Ads,1/1/18,,True
a1001,House Ads,1/1/18,,True
a1002,House Ads,1/1/18,,True
a1003,House Ads,1/1/18,,True
a1004,House Ads,1/1/18,,True
a1005,House Ads,1/1/18,,True
a1006,House Ads,1/1/18,,True
a1007,House Ads,1/1/18,,True
a1008,House Ads,1/1/18,,True
a1009,House Ads,1/1/18,,True
a1010,House Ads,1/1/18,,True
a1011,House Ads,1/1/18,1/18/18,False
a1012,House Ads,1/1/18,2/22/18,False
a1013,House Ads,1/1/18,3/9/18,False
a1014,House Ads,1/1/18,2/18/18,False
a1015,House Ads,1/1/18,3/3/18,False
a1016,House Ads,1/2/18,2/4/18,False
a1017,House Ads,1/2/18,1/9/18,False
a1018,House Ads,1/2/18,2/4/18,False
a1019,House Ads,1/2/18,1/21/18,False
a1020,House Ads,1/2/18,,True
a1021,House Ads,1/2/18,,True
a1022,House Ads,1/2/18,,True
a1023,House Ads,1/2/18,,True
a1024,House Ads,1/2/18,,True
a1025,House Ads,1/2/18,,True
a1026,House Ads,1/2/18,,True
a1027,House Ads,1/2/18,,True
a1028,House Ads,1/2/18,,True
a1029,House Ads,1/2/18,,True
a1030,House Ads,1/2/18,,True
a1031,House Ads,1/2/18,,True
a1032,House Ads,1/2/18,,True
a1033,House Ads,1/2/18,,True
a1034,House Ads,1/2/18,,True
a1035,House Ads,1/2/18,,True
a1036,House Ads,1/2/18,,True
a1037,House Ads,1/2/18,,True
a1038,House Ads,1/2/18,,True
a1039,House Ads,1/2/18,2/19/18,False
a1040,House Ads,1/2/18,2/19/18,False
a1041,House Ads,1/2/18,3/8/18,False
a1042,House Ads,1/2/18,3/8/18,False
a1043,House Ads,1/2/18,2/5/18,False
a1044,House Ads,1/2/18,2/5/18,False
a1045,House Ads,1/3/18,1/11/18,False
a1046,House Ads,1/3/18,1/11/18,False
a1047,House Ads,1/3/18,1/6/18,False
a1048,House Ads,1/3/18,1/6/18,False
a1049,House Ads,1/3/18,3/1/18,False
a1050,House Ads,1/3/18,3/1/18,False
a1051,House Ads,1/3/18,4/2/18,False
a1052,House Ads,1/3/18,4/2/18,False
a1053,House Ads,1/3/18,3/2/18,False
a1054,House Ads,1/3/18,3/2/18,False
a1055,House Ads,1/3/18,1/5/18,False
a1056,House Ads,1/3/18,,True
a1057,House Ads,1/3/18,,True
