user_id,age_group,language_preferred
a1000,0-18 years,English
a1001,19-24 years,English
a1002,24-30 years,English
a1003,30-36 years,English
a1004,36-45 years,English
a1005,45-55 years,German
a1006,55+ years,English
a1007,0-18 years,English
a1008,19-24 years,English
a1009,24-30 years,English
a1010,0-18 years,English
a1011,19-24 years,English
a1012,24-30 years,Arabic
a1013,0-18 years,English
a1014,19-24 years,English
a1015,24-30 years,Arabic
a1016,0-18 years,English
a1017,19-24 years,English
a1018,24-30 years,English
a1019,0-18 years,German
a1020,19-24 years,German
a1021,24-30 years,English
a1022,24-30 years,English
a1023,30-36 years,English
a1024,30-36 years,English
a1025,36-45 years,English
a1026,36-45 years,English
a1027,45-55 years,English
a1028,45-55 years,English
a1029,55+ years,English
a1030,55+ years,English
a1031,0-18 years,English
a1032,0-18 years,English
a1033,19-24 years,English
a1034,19-24 years,English
a1035,24-30 years,English
a1036,24-30 years,English
a1037,0-18 years,English
a1038,0-18 years,English
a1039,19-24 years,English
a1040,19-24 years,English
a1041,24-30 years,German
a1042,24-30 years,German
a1043,0-18 years,English
a1044,0-18 years,English
a1045,19-24 years,English
a1046,19-24 years,English
a1047,24-30 years,English
a1048,24-30 years,English
a1049,0-18 years,English
a1050,0-18 years,English
a1051,19-24 years,English
a1052,19-24 years,English
a1053,24-30 years,English
a1054,24-30 years,English
a1055,0-18 years,English
a1056,19-24 years,English
a1057,24-30 years,English
a1058,30-36 years,Spanish
a1059,36-45 years,English
a1060,45-55 years,German
a1061,55+ years,English
a1062,0-18 years,English
a1063,19-24 years,English
a1064,24-30 years,English
a1065,30-36 years,English
a1066,36-45 years,English
a1067,45-55 years,English
a1068,55+ years,English
a1069,0-18 years,English
a1070,19-24 years,English
a1071,24-30 years,Spanish
a1072,30-36 years,English
a1073,36-45 years,English
a1074,45-55 years,Spanish
a1075,55+ years,English
a1076,0-18 years,English
a1077,19-24 years,English
a1078,24-30 years,English
a1079,30-36 years,English
a1080,36-45 years,English
a1081,45-55 years,Spanish
a1082,55+ years,English
a1083,0-18 years,English
a1084,19-24 years,English
a1085,24-30 years,English
a1086,24-30 years,English
